***Daniel P. Aalberts #  Professor of Physics # B.S. (1989) Massachusetts Institute of Technology; Ph.D. (1994) Massachusetts Inst of Technology
Tomas F. Adalsteinsson #  Assistant Professor of Physical Education and Head Women's Golf Coach #
Souleymane Badolo #  Visiting Artist in Residence in Dance #
Duane A. Bailey #  Professor of Computer Science # B.A. (1982) Amherst College; M.S. (1984) University of Massachusetts Amherst; Ph.D. (1988) University of Massachusetts Amherst
Robert E. Baker-White #  Professor of Theatre # B.A. (1980) Williams College; M.F.A. (1983) University of Washington; Ph.D. (1990) Stanford University
Jon M. Bakija #  Professor of Economics # B.A. (1990) Wesleyan University; M.A. (1995) University of Michigan; Ph.D. (2000) University of Michigan
Lois M. Banta #  Professor of Biology # B.A. (1983) Johns Hopkins University; Ph.D. (1990) California Inst of Technology
Lloyd D. Barba #  C3 Mellon Postdoctoral Fellow in Latina/o Studies and Religion # B.A. (2009) University of the Pacific; M.A. (2011) University of Michigan Ann Arbor; Ph.D. (2016) University of Michigan Ann Arbor
Patrick S. Barber #  Visiting Assistant Professor of Chemistry # B.S. (2007) University of West Florida; Ph.D. (2011) University of Nevada Reno
Alix H. Barrale #  Assistant Professor of Physical Education and Head Field Hockey Coach # B.A. (1993) Williams College; M.S. (1996) Smith College
William Barrale #  Assistant Professor of Physical Education Head Baseball and Assistant Football Coach # B.S. (1994) Northeastern University; M.A. (2004) Rowan University
*Andrea Barrett #  Senior Lecturer in English # B.S. (1974) Union College
Ethan M. Barron #  Assistant Professor of Physical Education Head Men's Track & Field Coach # B.A. (2001) Tufts University; M.Ed. (2005) Middlebury College
Melissa J. Barry #  Chair and Professor of Philosophy # B.A. (1988) Wheaton College; Ph.D. (1998) University of Notre Dame
++Sarah E. Bassett #  Croghan Bicentennial Professor in Biblical and Early Christian Studies # B.A. (1976) Smith College; M.A. (1980) University of Chicago; Ph.D. (1985) Bryn Mawr College
Kirsten S. Beck #  Visiting Assistant Professor of Arabic Studies # B.A. (2006) Barnard College; M.A. (2007) Columbia University
Leslie E. Beldo Jr. #  Mellon Postdoctoral Fellow in Environmental Studies # B.S. (2003) Central Michigan University; Ph.D. (2014) University of Chicago
Ilona D. Bell #  Samuel Fessenden Clarke Professor of English # B.A. (1969) Radcliffe College; Ph.D. (1977) Boston College
Robert H. Bell #  Frederick Latimer Wells Professor of English # B.A. (1967) Dartmouth College; M.A. (1968) Harvard University; Ph.D. (1972) Harvard University
Gene H. Bell-Villada #  Professor of Romance Languages # B.A. (1963) University of Arizona; M.A. (1967) University of California Berkeley; Ph.D. (1974) Harvard University
Henry H. Benedict III #  Lecturer in Art # B.A. (1973) Yale University; M.Arch. (1976) Yale University
Mary K. Bercaw Edwards #  Visiting Lecturer at Williams-Mystic # B.A. (1979) Northeastern University; M.A. (1981) Northeastern University; Ph.D. (1984) Northeastern University
Magnus T. Bernhardsson #  Professor of History and Faculty Affiliate in Arabic Studies Leadership Studies and Religion # B.A. (1990) University of Iceland; M.A. (1992) Yale University; Ph.D. (1999) Yale University
Marina Bilbija #  Visiting Assistant Professor of English # B.A. (2006) Smith College; M.A. (2011) University of Pennsylvania; Ph.D. (2014) University of Pennsylvania
Maria T. Binnie #  Gaius Charles Bolin Fellow in Art History # B.A. (2005) Northwestern University; M.A. (2011) University of Texas Austin
++Nancy M. Birdsall #  Visiting Professor of Economics # B.A. (1967) Newton College-Sacred Heart; M.A. (1969) Johns Hopkins University; Ph.D. (1979) Yale University
*Julie C. Blackwood #  Assistant Professor of Mathematics #     ; Ph.D. (2010) University of California Davis
James Abellera Blair #  Assistant Professor of Chemistry # B.A. (2002) Carleton College; Ph.D. (2008) University of California Berkeley
***Mary Jennifer Bloxam #  Herbert H Lehman Professor of Music # B.M. (1979) University of Illinois; M.A. (1982) Yale University; Ph.D. (1987) Yale University
Christopher A. Bolton #  Professor of Comparative and Japanese Literature # B.A. (1989) Harvard University; Ph.D. (1998) Stanford University
+Johan Boye #  STINT - Research Scholar #
Ralph M. Bradburd #  Chair of CES and David A. Wells Professor of Political Economy # B.A. (1970) Columbia College; M.A. (1975) Columbia University; Ph.D. (1976) Columbia University
Rashida K. Braggs #  Assistant Professor of Africana Studies # B.A. (1998) Yale University; M.S. (2000) Boston College; Ph.D. (2006) Northwestern University
Janis E. Bravo #  Visiting Instructor in Biology # B.S. (1980) Cornell University; Ph.D. (1990) Rutgers University
Victoria J. Brooks #  Visiting Lecturer in the Graduate Program in Art History # B.A. (2001) University of Bristol; M.A. (2006) Royal College of Art
Deborah A. Brothers #  Costume Director and Lecturer in Theatre # B.F.A. (1976) University of New Orleans; M.F.A. (1979) California Inst of the Arts
Denise K. Buell #  Cluett Professor of Religion # B.A. (1987) Princeton University; M.Div. (1990) Harvard University; Ph.D. (1995) Harvard University
**Sandra L. Burton #  Lipp Family Director of Dance and Senior Lecturer in Dance # B.A. (1983) City College of New York; M.F.A. (1987) Bennington College
Corinna S. Campbell #  Assistant Professor of Music # B.M. (2003) Northwestern University; M.M. (2005) Bowling Green State University; Ph.D. (2012) Harvard University
**Gerard Caprio Jr. #  Chair of the Executive Committee for the Center of Development Economics and William Brough Professor of Economics # B.A. (1972) Williams College; M.A. (1974) University of Michigan; Ph.D. (1976)  Ph.D.
*Matthew E. Carter #  Assistant Professor of Biology # B.A. (2000) Whitman College; Ph.D. (2010) Stanford University
Alison A. Case #  Professor of English # B.A. (1984) Oberlin College; M.A. (1988) Cornell University; Ph.D. (1991) Cornell University
Julie A. Cassiday #  Chair of German and Russian and Professor of Russian # B.A. (1986) Grinnell College; M.A. (1990) Stanford University; Ph.D. (1995) Stanford University
David N. Cassuto #  Class of 1946 Visiting Distinguished Professor of Environmental Studies # B.A. (1985) Wesleyan University; Ph.D. (1994) Indiana University
**Cosmo A. Catalano #  Theatre Department Production Manager Technological Supervisor for the '62 Center for Theatre and Dance and Lecturer in Theatre # B.A. (1976) University of Iowa; M.F.A. (1979) Yale University
Maria Elena Cepeda #  Professor of Latina/o Studies # B.A. (1995) Kenyon College; M.A. (1997) University of Michigan; Ph.D. (2003) University of Michigan
Donald Chandler #  George R. Goethals Distinguished Visiting Professor of Leadership Studies # B.A. (1972) Williams College; M.B.A. (1978) Harvard University
**Cecilia Chang #  Professor of Chinese # B.A. (1981) Fu-Jen University; M.A. (1987) University of California Louisiana; Ph.D. (2004) University of Massachusetts Amherst
Jinhwa Chang #  Visiting Lecturer in Japanese # B.A. (1994) Kyungpook National University
Matthew C. Chao #  Assistant Professor of Economics # B.A. (2006) Dartmouth College; Ph.D. (2015) California Inst of Technology
**Jessica M. Chapman #  Associate Professor of History # B.A. (1999) Valparaiso University; M.A. (2001) University of California Santa Barbara; Ph.D. (2006) University of California Santa Barbara
Ondine L. Chavoya #  Professor of Art # B.A. (1992) University of California Santa Cruz; M.A. (1996) University of Rochester; Ph.D. (2002) University of Rochester
Pei-Wen Chen #  Assistant Professor of Biology # B.S. (2001) National Yang-Ming University; M.S. (2003) Albert Einstein College-Medicine; Ph.D. (2008) Albert Einstein College-Medici
***Kerry A. Christensen #  Garfield Professor of Ancient Languages # B.A. (1981) Swarthmore College; M.A. (1983) Princeton University; Ph.D. (1993) Princeton University
Jennifer E. Chuks #  Assistant Professor of Physical Education and Assistant Athletic Director/Student Athlete Services # B.A. (2006) University of Hartford; M.B.A. (2009) University of New Haven
++Jay A. Clarke #  Lecturer in the Graduate Program in Art History # B.A. (1988) Holy Cross College; M.A. (1991) Brown University; Ph.D. (1999) Brown University
Cassandra J. Cleghorn #  Senior Lecturer in English and American Studies # B.A. (1983) University of California Santa Cruz; M.A. (1988) Yale University; Ph.D. (1995) Yale University
Phoebe A. Cohen #  Assistant Professor of Geosciences # B.A. (2002) Cornell University; Ph.D. (2010) Harvard University
Cory H. Colbert #  Gaius Charles Bolin Fellow in Mathematics # B.S. (2011) Virginia Commonwealth University; M.A. (2013) University of Texas Austin
Meredith F. Coleman-Tobias #  Gaius Charles Bolin Fellow in Religion and Africana Studies # B.A. (2006) Spelman College; M.Div. (2009) Yale Divinity School
Jeremy D. Cone #  Assistant Professor of Psychology #     ; Ph.D. (2012) Cornell University
Michael P. Conforti #  Lecturer in the Graduate Program in Art History # B.A. (1968) Trinity College; M.A. (1973) Harvard University; Ph.D. (1977) Harvard University
Eliza L. Congdon #  Visiting Assistant Professor of Psychology # B.S. (2008) Brown University; Ph.D. (2016) University of Chicago
Jose A. Constantine #  Assistant Professor of Geosciences #
Mea S. Cook #  Associate Professor of Geosciences # B.A. (1999) Princeton University; Ph.D. (2006) Massachusetts Inst of Technology
Andrew R. Cornell #  Visiting Assistant Professor of American Studies # B.A. (2000) University of Michigan; Ph.D. (2011) New York University
Ronadh Cox #  Chair and Professor of Geosciences # B.S. (1985) University College Dublin; Ph.D. (1993) Stanford University
George T. Crane #  W. Van Alan Clark '41 Third Century Professor in the Social Sciences # B.A. (1979) State University of New York Purchase; M.A. (1981) University of Wisconsin Madison; Ph.D. (1986) University of Wisconsin
Madison # Madison #
Marshall K. Creighton #  Lecturer in Physical Education Assistant Football and Assistant Baseball Coach # B.A. (2002) Williams College
Justin E. Crowe #  Associate Professor of Political Science # B.A. (2003) Williams College; M.A. (2005) Princeton University; Ph.D. (2007) Princeton University
Joseph L. Cruz #  Professor of Philosophy # B.A. (1991) Williams College; Ph.D. (1999) University of Arizona
Annelle M. Curulla #  Assistant Professor of French Literature and Language # B.A. (1999) Connecticut College; M.A. (2001) Middlebury College; Ph.D. (2012) Columbia University
***Erica A. Dankmeyer #  Chair and Artist-in-Residence in Dance # B.A. (1991) Williams College
Andrea Danyluk #  Dennis A. Meenan '54 Third Century Professor of Computer Science # A.B. (1984) Vassar College; M.S. (1986) Columbia University; Ph.D. (1992) Columbia University
Diana J. Davis #  Visiting Assistant Professor of Mathematics # B.A. (2007) Williams College; M.S. (2010) Brown University; Ph.D. (2013) Brown University
Alan W. De Gooyer #  Lecturer in English # B.A. (1987) Colorado State University; M.A. (1991) University of Denver; Ph.D. (1994) University of Virginia
Richard D. De Veaux #  C. Carlisle and Margaret Tippit Professor of Statistics # A.B. (1973) Princeton University; M.A. (1980) Stanford University; Ph.D. (1986) Stanford University
Derek Dean #  Lecturer in Biology # B.A. (1994) Oberlin College; Ph.D. (2004) Cornell University
Edan Dekel #  Associate Professor of Classics and Faculty Affiliate in Religion # B.A. (1996) Brown University; M.A. (1998) University of California Berkeley; Ph.D. (2005) University of California Berkeley
Nicole S. Desrosiers #  Lecturer in Romance Languages # M.A. (1973) University of Massachusetts Amherst; Ph.D. (1980) University of Massachusetts Amherst
David P. Dethier #  Edward Brust Professor of Geology and Mineralogy # A.B. (1972) Dartmouth College; M.S. (1974) University of Washington; Ph.D. (1977) University of Washington
Charles B. Dew #  Ephraim Williams Professor of American History # B.A. (1958) Williams College; Ph.D. (1964) Johns Hopkins University
Stephen Charles Doret #  Assistant Professor of Physics # B.A. (2002) Williams College; A.M. (2006) Harvard University; Ph.D. (2010) Harvard University
Kenneth M. Draper #  Visiting Assistant Professor of Classics # B.A. (2005) Northwestern University; M.A. (2008) Indiana University; Ph.D. (2015) Indiana University
***Georges B. Dreyfus #  Jackson Professor of Religion # B.A. (1969) La Chaux-de-Fonds; M.A. (1987) University of Virginia; Ph.D. (1991) University of Virginia
**Helga Druxes #  Professor of German # B.A. (1982) Westfalische Wilhelms-University; M.A. (1985) Brown University; Ph.D. (1987) Brown University
Sara L. Dubow #  Associate Professor of History # B.A. (1991) Williams College; M.A. (1996) University of Massachusetts Amherst; Ph.D. (2003) Rutgers University
William C. Dudley #  Professor of Philosophy # B.A. (1989) Williams College; M.A. (1995) Northwestern University; Ph.D. (1998) Northwestern University
Susan Dunn #  Massachusetts Professor of Humanities # B.A. (1966) Smith College; Ph.D. (1973) Harvard University
David B. Edwards #  James N. Lambert '39 Professor of Anthropology # B.A. (1975) Princeton University; M.A. (1979) University of Michigan; Ph.D. (1986) University of Michigan
Frances C. Edwards #  Senior Lecturer in Art # B.A. (1975) Princeton University; M.A. (1981) University of Michigan; Ph.D. (1990) New York University Inst of Fine Arts
Joan Edwards #  Chair and Washington Gladden 1859 Professor of Biology # B.A. (1971) University of Michigan; M.S. (1972) University of Michigan; Ph.D. (1978) University of Michigan
Susan L. Engel #  Senior Lecturer in Psychology # B.A. (1980) Sarah Lawrence College; Ph.D. (1985) City University of New York
Laura D. Ephraim #  Assistant Professor of Political Science # B.A. (2000) Pomona College; Ph.D. (2010) Northwestern University
David Eppel #  Professor of Theatre # B.A. (1971) University of CapeTown; M.F.A. (1986) Columbia University
Edward A. Epping #  Alexander Falck Class of 1899 Professor of Art # B.A. (1970) Western Illinois University; M.F.A. (1973) University of Wisconsin Madison
Amal Eqeiq #  Assistant Professor of Comparative Literature # B.A. (1997) Hebrew University-Jerusalem; M.A. (2006) University of Oregon; Ph.D. (2013) University of Washington
Adam F. Falk #  Professor of Physics # B.S. (1987) University of North Carolina Chapel Hill; M.A. (1989) Harvard University; Ph.D. (1991) Harvard University
Peter K. Farwell #  Assistant Professor of Physical Education and Head Cross Country Coach # B.A. (1973) Williams College; M.A. (1990) Central Michigan University
Steven Fein #  Chair and Professor of Psychology # A.B. (1986) Princeton University; Ph.D. (1991) University of Michigan
Ronald L. Feldman #  Artist in Residence in Orchestral and Instrumental Activities/Lecturer in Music Director of the Berkshire Symphony # B.M. (1971) Boston University
Zirka Z. Filipczak #  J. Kirk T. Varnedoe '67 Professor of Art # B.A. (1964) Barnard College; M.A. (1965) Harvard University; Ph.D. (1973) Harvard University
*Jessica M. Fisher #  Assistant Professor of English # B.A. (1998) Swarthmore College; M.A. (2003) University of California Berkeley; Ph.D. (2009) University of California Berkeley
Stephen E. Fix #  Robert G Scott '68 Professor of English # B.A. (1974) Boston College; M.A. (1977) Cornell University; Ph.D. (1980) Cornell University
Antonia E. Foias #  Chair and Professor of Anthropology # B.A. (1987) Harvard University; Ph.D. (1996) Vanderbilt University
VaNatta S. Ford #  Assistant Professor of Africana Studies # B.S. (2000) Illinois State University; M.Div. (2005) Howard University; Ph.D. (2011) Howard University
Kevin R. Forkey #  Lecturer in Physics # B.A. (1981) Cornell University
+Michael Fortunato #  Sorkin Visiting Professor # A.B. (1976) Columbia University; M.A. (1982) Harvard University; Ph.D. (1984) Harvard University
**Soledad Fox #  Professor of Romance Languages # B.A. (1990) Sarah Lawrence College; M.A. (1997) City University of New York; Ph.D. (2001) City University of New York
***Jennifer L. French #  Professor of Spanish # B.A. (1995) College of William and Mary; M.A. (1997) Rutgers University; Ph.D. (2001) Rutgers University
Stephen N. Freund #  Professor of Computer Science # B.S. (1995) Stanford University; M.S. (1998) Stanford University; Ph.D. (2000) Stanford University
Rachel A. Friedman #  Mellon Postdoctoral Fellow in Arabic Literature # A.B. (2010) Georgetown University; M.A. (2011) University of California Berkeley; Ph.D. (2015) University of California Berkeley
Alexandra Garbarini #  Professor of History # B.A. (1994) Williams College; M.A. (1997) University of California Louisiana; Ph.D. (2003) University of California Louisiana
Sarah S. Gardner #  Lecturer in Environmental Studies # B.A. (1985) Smith College; M.P.A. (1989) Columbia University; Ph.D. (2000) City University of New York
*Thomas A. Garrity #  Webster Atwell Class of 1921 Professor of Mathematics # B.S. (1981) University of Texas Austin; Ph.D. (1986) Brown University
William M. Gentry #  Professor of Economics # B.S. (1986) Massachusetts Institute of Technology; M.A. (1991) Princeton University; Ph.D. (1991) Princeton University
Steven B. Gerrard #  Professor of Philosophy # B.A. (1978) Amherst College; M.A. (1982) University of Chicago; Ph.D. (1987) University of Chicago
++Christopher P. Gibson #  Visiting Professor of Leadership Studies #
Matthew D. Gibson #  Assistant Professor of Economics # A.B. (2005) Harvard University; Ph.D. (2015) University of California San Diego
Lisa A. Gilbert #  Associate Professor of Geosciences and Marine Sciences # A.B. (1997) Dartmouth College; M.S. (1999) University of Washington; Ph.D. (2004) University of Washington
Meghan K. Gillis #  Assistant Professor of Physical Education and Head Coach of Women's Ice Hockey # B.A. (2007) Bowdoin College; M.S. (2009) University of Massachusetts Amherst
Catherine Girard #  Visiting Assistant Professor of Art # B.A. (2003) University of Montreal; M.A. (2006) University of Montreal; Ph.D. (2014) Harvard University
Michael A. Glier #  Professor of Art # B.A. (1976) Williams College; M.A. (1977) Hunter College City University of New York
Susan Godlonton #  Assistant Professor of Economics # B.A. (2003) University of CapeTown; M.A. (2007) University of CapeTown; Ph.D. (2013) University of Michigan
Christopher Goh #  Associate Professor of Chemistry # B.S. (1989) University of Durham; Ph.D. (1996) Harvard University
Sarah L. Goh #  Associate Professor of Chemistry # B.S. (1996) University of Michigan; M.S. (1998) University of Massachusetts Amherst; Ph.D. (2004) University of California Berkeley
Matthew A. Gold #  Artist in Residence in Percussion and Contemporary Music Performance #
***Leo I. Goldmakher #  Assistant Professor of Mathematics # B.A. (2004) Princeton University; Ph.D. (2009) University of Michigan
+Barry Goldstein #  Visiting Professor of Humanities # B.S. (1973) Union College; M.S. (1976) University of Rochester; Ph.D. (1982) University of Rochester
Darra J. Goldstein #  Willcox B. and Harriet M. Adsit Professor of Russian # B.A. (1973) Vassar College; M.A. (1976) Stanford University; Ph.D. (1983) Stanford University
Edward Gollin #  Professor of Music # B.S. (1992) Massachusetts Institute of Technology; M.A. (1995) Queens College; Ph.D. (2000) Harvard University
Glenn S. Gordinier #  Associate Professor at Williams-Mystic # B.A. (1969) West Chester University; M.A. (1981) Lehigh University; Ph.D. (2001) University of Connecticut
Marc Gotlieb #  Director of the Graduate Program in Art History and Class of 1955 Memorial Professor of Art # B.A. (1980) University of Toronto; M.A. (1984) Johns Hopkins University; Ph.D. (1990) Johns Hopkins University
Daniel R. Greenberg #  Assistant Professor of Physical Education and Head Coach of Men's Tennis # B.A. (2008) Williams College; M.Ed. (2013) Massachusetts College of Liberal Arts
***David E. Gurcay-Morris #  Associate Professor of Theatre # B.A. (1996) Williams College; M.F.A. (2001) University of Washington
Kim I. Gutschow #  Lecturer in Religion and Anthropology/Sociology # B.A. (1988) Harvard University; M.A. (1995) Harvard University; Ph.D. (1998) Harvard University
Catherine R. Hall #  Lecturer in Maritime Studies # B.A. (1985) University of RI; J.D. (1989) Vermont Law School
**Amie A. Hane #  Associate Professor of Psychology # B.A. (1996) University of Maryland; M.A. (1999) University of Maryland; Ph.D. (2002) University of Maryland
Nicole T. Harrington #  Visiting Assistant Professor of Psychology # B.A. (1987) Boston College; Ph.D. (1995) University of Vermont
Pamela E. Harris #  Assistant Professor of Mathematics #
Mamoru Hatakeyama #  Visiting Lecturer in Japanese #
Brynn M. Hatton #  Visiting Assistant Professor of Art # B.A. (2003) University of California Berkeley; M.A. (2012) Northwestern University; Ph.D. (2016) Northwestern University
Man He #  Assistant Professor of Chinese # B.A. (2000) Renmin University; M.A. (2009) Ohio State University; Ph.D. (2015) Ohio State University
Laurie Heatherington #  Edward Dorr Griffin Professor of Psychology # B.A. (1976) Miami University; Ph.D. (1981) University of Connecticu
Guy M. Hedreen #  Professor of Art # B.A. (1981) Pomona College; M.A. (1983) Bryn Mawr College; Ph.D. (1988) Bryn Mawr College
Brent A. Heeringa #  Chair and Associate Professor of Computer Science # B.A. (1999) University of Minnesota; M.S. (2002) University of Massachusetts Amherst; Ph.D. (2006) University of Massachusetts Amherst
*Brianna C. Heggeseth #  Assistant Professor of Statistics # B.A. (2008) Saint Olaf College; Ph.D. (2013) University of California Berkeley
++Peter S. Heller #  Visiting Professor of Economics # B.A. (1967) Trinity College; Ph.D. (1972) Harvard University
Kristin M. Herman #  Assistant Professor of Physical Education Head Softball Coach # B.A. (1986) Tufts University; M.A. (1989) Tufts University
+Christopher P. Heuer #  Lecturer in the Graduate Program in Art History # A.B. (1994) Bowdoin College; A.M. (1997) University of Southern California; Ph.D. (2003) University of California Berkeley
Jacqueline Hidalgo #  Associate Professor of Latina/o Studies and Religion # B.A. (2000) Columbia University; M.A. (2003) Union Theological Seminary; Ph.D. (2010) Claremont Graduate University
Joshua D. Hillman #  Lecturer in Physical Education and Head Men's Golf Coach # B.A. (2000) University of RI
Alan Hirsch #  Lecturer in Humanities # B.A. (1981) Amherst College; J.D. (1985) Yale University
Marjorie W. Hirsch #  Chair and Professor of Music # B.A. (1982) Yale University; M.Phil. (1985) Yale University; Ph.D. (1989) Yale University
Nathan D. Hoey #  Assistant Professor of Physical Education Head Women's Track & Field Coach # B.S. (2000) Slippery Rock University
Amy S. Holzapfel #  Chair and Associate Professor of Theatre # B.A. (1996) Brown University; M.F.A. (2001) Yale School of Drama; D.F.A. (2006) Yale School of Drama
Kiaran Honderich #  Lecturer in Women's Gender and Sexuality Studies # B.A. (1983) Oxford University; M.A. (1984) Columbia University; Ph.D. (1991) University of Massachusetts Amherst
Scott D. Honecker #  Assistant Professor of Physical Education and Head Coach of Wrestling # B.S. (2010) East Carolina University
Meredith C. Hoppin #  Frank M Gagliardi Professor of Classics # B.A. (1972) Carleton College; M.A. (1973) University of Michigan; Ph.D. (1976) University of Michigan
Catherine N. Howe #  Visiting Assistant Professor of Art # B.A. (1997) Barnard College; M.A. (2005) University of California Santa Barbara; Ph.D. (2012) University of California Santa Barbara
Nicolas C. Howe #  Assistant Professor of Environmental Studies and Faculty Affiliate in Anthropology and Sociology # B.A. (1998) Columbia University; M.A. (2003) University of California Louisiana; Ph.D. (2009) University of California Louisiana
*Jeffrey I. Israel #  Assistant Professor of Religion # B.A. (1999) Oberlin College; M.A. (2001) University of Chicago; Ph.D. (2011) University of Chicago
Robert Jackall #  Willmott Family Third Century Professor Sociology & Public Affairs # B.A. (1963) Fordham University; Ph.L (1964) Woodstock College St Ignatius; Ph.D. (1976) New School for Social Research
Galen E. Jackson #  Stanley Kaplan Visiting Postdoctoral Fellow in the Department of Political Science and Leadership Studies Program # B.A. (2009) Williams College; M.A. (2010) University of Chicago; Ph.D. (2016) University
of California #  Louisiana #
Sarah A. Jacobson #  Associate Professor of Economics # B.S. (1998) Harvey Mudd College; M.A. (2005) GA State University; Ph.D. (2010) GA State University
Andrew W. Jaffe #  Lyell B. Clay Artist in Residence in Jazz and Senior Lecturer in Music # B.A. (1973) Saint Lawrence University; M.M. (1977) University of Massachusetts Amherst
Joy A. James #  Francis Christopher Oakley Third Century Professor of Humanities # B.A. (1980) Saint Mary's University; M.A. (1982) Fordham University; Ph.D. (1987) Fordham University
**Ju-Yu Scarlett Jang #  Professor of Art # B.A. (1969) National Cheng-Chih University; M.A. (1984) University of California Berkeley; Ph.D. (1989) University of California Berkeley
William K. Jannen #  Visiting Lecturer in Computer Science # B.A. (2009) Williams College
++Steffani Jemison #  Arthur Levitt Jr. '52 Artist-in-Residence #
Eugene J. Johnson III #  Amos Lawrence Professor of Art # B.A. (1959) Williams College; M.A. (1963) New York University Inst of Fine Arts; Ph.D. (1970) New York University Inst of Fine Arts
**Cathy M. Johnson #  James Phinney Baxter III Professor of Political Science # B.A. (1979) Dartmouth College; Ph.D. (1986) University of Michigan
***Elizabeth Johnson #  Professor of Art # B.A. (1992) Williams College; M.F.A. (1995) University of California San Diego
Stewart D. Johnson #  Professor of Mathematics # B.A. (1979) Fort Lewis College; Ph.D. (1985) Stanford University
+Melanie J. Johnson-DeBaufre #  Croghan Bicentennial Visiting Professor of Religion # B.A. (1988) Eastern University; M.Phil. (1992) Harvard University; D.Th. (2002) Harvard University
Walter A. Johnston #  Visiting Assistant Professor of English # B.A. (2002) Bard College; M.A. (2007) Princeton University; Ph.D. (2012) Princeton University
*Kevin M. Jones #  William Edward McElfresh Professor of Physics # B.A. (1977) Williams College; Ph.D. (1983) Stanford University
Kelly M. Josephs #  Sterling Brown '22 Visiting Professor of Africana Studies # B.A. (1998) University of Miami; M.A. (2001) FL Intl University; Ph.D. (2006) Rutgers University
Jason A. Josephson #  Chair and Associate Professor of Religion # B.A. (1999) Hampshire College; M.A. (2001) Harvard University; Ph.D. (2006) Stanford University
**Peter Just #  Professor of Anthropology # B.A. (1972) University of Chicago; M.A. (1979) University of Pennsylvania; Ph.D. (1986) University of Pennsylvania
**Shinko Kagaya #  Professor of Japanese # B.A. (1989) Aoyama Gakuin University; M.A. (1991) Ohio State University; Ph.D. (1999) Ohio State University
William R. Kangas #  Assistant Professor of Physical Education and Head Men's Ice Hockey Coach # B.A. (1982) University of Vermont; M.Ed. (1994) Massachusetts College of Liberal Arts
*Aparna Kapadia #  Assistant Professor of History # B.A. (1998) St Xavier's College Mumbai University; M.Phil. (2005) Jawaharlal Nehru University; Ph.D. (2010) University of London
Lawrence J. Kaplan #  Halford R Clark Professor of Natural Sciences # B.S. (1964) University of Pittsburgh; Ph.D. (1970) Purdue University
***Paul M. Karabinos #  Charles L. MacMillan Professor in Natural Sciences # B.S. (1975) University of Connecticut; Ph.D. (1981) Johns Hopkins University
Catherine M. Kealhofer #  Assistant Professor of Physics # A.B. (2003) Princeton University; Ph.D. (2013) Stanford University
Rosemary A. Kelanic #  Assistant Professor of Political Science # B.A. (2002) Bryn Mawr College; M.A. (2003) University of Chicago; Ph.D. (2012) University of Chicago
Christiann L. Kelsey #  Assistant Professor of Physical Education and Head Women's Volleyball Coach # B.S. (2000) Purdue University; M.S. (2012) Northeastern University
Kathryn R. Kent #  Professor of English # B.A. (1988) Williams College; M.A. (1993) Duke University; Ph.D. (1996) Duke University
Elizabeth A. Kieffer #  Lecturer in German # B.A. (1977) Rutgers University
Kris N. Kirby #  Professor of Psychology # B.A. (1985) Marshall University; Ph.D. (1991) Harvard University
Roger A. Kittleson #  Professor of History # B.A. (1985) Northwestern University; M.A. (1990) University of Wisconsin Madison; Ph.D. (1997) University of Wisconsin Madison
